,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
102,HK.09999,2020-11-10 00:00:00,136.79767,137.69767,138.79767,136.59767,20.615,0.00209,7211341,999398681.0,-4.507701129983585,144.19767
103,HK.09999,2020-11-11 00:00:00,138.19767,136.19767,138.49767,135.39767,20.391,0.0015,5190091,712823533.0,-1.0893430513384867,137.69767
104,HK.09999,2020-11-12 00:00:00,139.89767,139.09767,139.89767,138.19767,20.824,0.00078,2707458,377507681.0,2.129258158381128,136.19767
105,HK.09999,2020-11-13 00:00:00,136.59767,136.39767,137.09767,135.49767,20.421,0.00093,3198773,435982062.0,-1.9410821187730816,139.09767
106,HK.09999,2020-11-16 00:00:00,139.49767,137.49767,139.49767,136.19767,20.585,0.00091,3151997,433636989.0,0.8064653890348671,136.39767
107,HK.09999,2020-11-17 00:00:00,137.49767,135.79767,137.49767,135.09767,20.331,0.00078,2706171,368172314.0,-1.2363845874624557,137.49767
108,HK.09999,2020-11-18 00:00:00,136.19767,135.59767,136.39767,134.69767,20.301,0.00065,2249876,305515102.0,-0.14727793194096558,135.79767
109,HK.09999,2020-11-19 00:00:00,133.69767,133.79767,135.09767,132.69767,20.032,0.00159,5501385,736650244.0,-1.3274564378576585,135.59767
110,HK.09999,2020-11-20 00:00:00,138.69767,141.49767,142.69767,137.79767,21.183,0.00335,11578208,1634580718.0,5.754958214145275,133.79767
111,HK.09999,2020-11-23 00:00:00,146.89767,148.19767,148.69767,144.09767,22.184,0.00248,8575516,1260624306.0,4.73506030169966,141.49767
112,HK.09999,2020-11-24 00:00:00,151.69767,150.49767,152.09767,149.99767,22.527,0.00205,7069550,1069439994.0,1.5519812153591968,148.19767
113,HK.09999,2020-11-25 00:00:00,152.79767,148.49767,152.79767,147.59767,22.228,0.00127,4403086,659081176.0,-1.3289242285279235,150.49767
114,HK.09999,2020-11-26 00:00:00,146.09767,143.59767,146.19767,141.99767,21.496,0.00155,5344471,768356921.0,-3.299715072970509,148.49767
115,HK.09999,2020-11-27 00:00:00,144.49767,144.09767,144.99767,142.89767,21.571,0.00043,1501308,216163258.0,0.348195064724936,143.59767
116,HK.09999,2020-11-30 00:00:00,145.19767,144.19767,145.19767,142.79767,21.586,0.00106,3659528,528709571.0,0.0693973747111902,144.09767
117,HK.09999,2020-12-01 00:00:00,142.89767,141.49767,142.89767,140.09767,21.183,0.00118,4060906,575161169.0,-1.8724297001470196,144.19767
118,HK.09999,2020-12-02 00:00:00,141.49767,137.69767,141.49767,137.19767,20.615,0.00145,5001817,693641224.0,-2.6855565890237,141.49767
119,HK.09999,2020-12-03 00:00:00,137.0,136.0,138.0,135.0,20.316,0.00194,6686217,910684050.0,-1.2328966786438638,137.69767
120,HK.09999,2020-12-04 00:00:00,137.2,137.9,139.5,136.5,20.6,0.0014,4834980,666967044.0,1.397058823529416,136.0
